FUW2_40;Zur romantischen Burgruine Wildenfels;11;3;überwiegend leichtes Gelände;
FUW2_41;Von Spies zum Reuthof;10;3;leichtes bis mittelschweres Gelände;
FUW2_42;Vom Lehental durch die westliche Oberpfalz;14;4;leichtes bis mittelschweres Gelände;
FUW2_43;Nach Hunas und Ernhüll -- ins Gebiet unserer Frühgeschichte;16;4.5;leichtes Gelände;
FUW2_44;Zum Brennberg und zur Noris-Sprungschanze;9;2.5;mittelschweres Gelände;
FUW2_45;Von Hartmannshof über Lichtenegg nach Etzelwang;20;5.5;überwiegend leichtes Gelände;
FUW2_46;Von Hartmannshof über Lichtenegg nach Fürnried;15;4;überwiegend leichtes Gelände;
FUW2_47;Von der Claramühle zum Bären- und Türkenfels sowie zur Ruine Lichtenegg;20;5.5;leichtes bis mittelschweres Gelände;
FUW2_48;Von der Claramühle zum Poppberg;15;4;leichtes Gelände;
FUW2_49;Von Alfeld zum Poppberg;13;3.5;leichtes Gelände;
FUW2_50;Zu den höchsten Bergen des Königsteiner Landes;21;5.5;leichtes, mitunter auch schweres Gelände;
FUW2_51;Von der Maximiliansgrotte zur Hohen Tanne und zum Forsthaus Sackdilling;18;5;überwiegend leichtes Gelände;
FUW2_52;Von Velburg zur Ruine Adelburg;15;4;überwiegend leichtes Gelände;
FUW2_53;Von Parsberg durchs Laabertal nach Hollerstetten;19;5;überwiegend leichtes Gelände, für heiße Tage weniger geeignet;
FUW2_54;Thalmässinger Impressionen;19;5;leichtes Gelände;
FUW2_55;Auf den Spuren der Römer;16;4;leichtes Gelände, bei großer Hitze und hoher Schneelage weniger geeignet;
FUW2_56;Vom Arbachtal über den Rohrberg zur "Deutschordensstadt" Ellingen;23;6;leichtes Gelände;
FUW2_57;Von Weißenburg ins Schambachtal und zur Wülzburg;24;6;leichtes Gelände;
FUW2_58;Sichtreiche Rundwanderung im Hahnenkamm;17;4.5;leichtes Gelände;
FUW2_59;Zum Hesselberg, der höchsten Erhebung Mittelfrankens;17;5;leichtes und schweres Gelände;
FUW2_60;Zur wehrhaften Kirchenburg nach Illschwang;18;5;leichtes Gelände;
